rank,word,freq
1,the,116
2,of,71
3,to,48
4,and,48
5,which,36
6,in,31
7,i,23
8,be,23
9,my,22
10,by,20
11,that,18
12,with,17
13,on,15
14,a,14
15,as,14
16,have,12
17,for,12
18,it,11
19,this,10
20,will,10
21,an,10
22,your,9
23,can,9
24,every,9
25,more,8
26,no,8
27,government,8
28,me,8
29,from,7
30,been,7
31,is,7
32,than,6
33,public,6
34,may,6
35,present,5
36,you,5
37,country,5
38,has,5
39,or,5
40,under,5
41,his,5
42,united,4
43,being,4
44,duty,4
45,not,4
46,one,4
47,since,4
48,myself,4
49,was,4
50,its,4
51,citizens,4
52,ought,4
53,people,4
54,happiness,3
55,there,3
56,most,3
57,such,3
58,who,3
59,could,3
60,less,3
61,their,3
62,they,3
63,measures,3
64,must,3
65,far,3
66,are,3
67,some,3
68,great,3
69,good,3
70,so,3
71,these,3
72,all,3
73,into,3
74,but,3
75,those,3
76,between,3
77,shall,3
78,too,3
79,hand,3
80,nature,3
81,established,2
82,themselves,2
83,own,2
84,just,2
85,american,2
86,voice,2
87,day,2
88,immutable,2
89,private,2
90,states,2
91,humble,2
92,success,2
93,opportunities,2
94,first,2
95,confidence,2
96,retreat,2
97,assure,2
98,department,2
99,over,2
100,without,2
101,he,2
102,views,2
103,qualifications,2
104,particular,2
105,rules,2
106,article,2
107,deliberations,2
108,pecuniary,2
109,influence,2
110,communities,2
111,executive,2
112,representatives,2
113,nor,2
114,them,2
115,nation,2
116,whose,2
117,providential,2
118,impressions,2
119,well,2
120,house,2
121,administration,2
122,necessary,2
123,station,2
124,human,2
125,might,2
126,dare,2
127,subject,2
128,at,2
129,share,2
130,former,2
131,free,2
132,liberties,2
133,heaven,2
134,system,2
135,order,2
136,expedient,2
137,fellow,2
138,trust,2
139,union,2
140,official,2
141,future,2
142,never,2
143,rendered,2
144,given,2
145,objects,2
146,policy,2
147,event,2
148,peculiarly,2
149,sentiments,2
150,love,2
151,how,2
152,circumstances,2
153,care,1
154,watch,1
155,solid,1
156,fortified,1
157,appreciation,1
158,constitution,1
159,originated,1
160,staked,1
161,principles,1
162,time,1
163,rewards,1
164,prejudices,1
165,instituted,1
166,comprehensive,1
167,arduous,1
168,win,1
169,foregoing,1
170,harmony,1
171,disinclination,1
172,expresses,1
173,fervent,1
174,perhaps,1
175,side,1
176,national,1
177,reflections,1
178,hands,1
179,affected,1
180,consultations,1
181,fifth,1
182,suppressed,1
183,enlarged,1
184,seems,1
185,power,1
186,accordingly,1
187,rectitude,1
188,recommendations,1
189,recommend,1
190,supplications,1
191,proof,1
192,attributes,1
193,would,1
194,birth,1
195,charter,1
196,untried,1
197,incident,1
198,selected,1
199,resorting,1
200,instrument,1
201,eternal,1
202,her,1
203,mislead,1
204,designates,1
205,filled,1
206,years,1
