rank,word,freq
1,the,163
2,of,140
3,and,130
4,to,72
5,a,51
6,in,47
7,it,34
8,be,31
9,by,30
10,if,25
11,or,22
12,that,22
13,for,21
14,which,20
15,people,20
16,an,18
17,this,18
18,all,18
19,its,17
20,government,16
21,not,16
22,with,16
23,their,15
24,is,14
25,as,14
26,my,14
27,i,13
28,may,13
29,from,13
30,nations,11
31,on,10
32,more,10
33,but,10
34,nation,9
35,states,9
36,country,9
37,can,9
38,was,8
39,foreign,8
40,only,8
41,his,8
42,been,8
43,constitution,8
44,so,7
45,has,7
46,any,7
47,honor,7
48,had,7
49,have,7
50,than,7
51,such,6
52,at,6
53,them,6
54,who,6
55,no,6
56,ever,6
57,public,6
58,congress,6
59,under,6
60,spirit,6
61,justice,6
62,our,6
63,mind,6
64,good,6
65,upon,5
66,me,5
67,every,5
68,peace,5
69,most,5
70,were,5
71,america,5
72,are,5
73,power,5
74,love,5
75,great,5
76,choice,4
77,own,4
78,shall,4
79,national,4
80,when,4
81,general,4
82,support,4
83,course,4
84,men,4
85,knowledge,4
86,among,4
87,pleasing,4
88,over,4
89,interest,4
90,order,4
91,party,4
92,should,4
93,virtuous,4
94,some,4
95,toward,3
96,american,3
97,form,3
98,liberty,3
99,then,3
100,legislature,3
101,anything,3
102,after,3
103,authority,3
104,what,3
105,happiness,3
106,early,3
107,first,3
108,system,3
109,fellow-citizens,3
110,resolution,3
111,faith,3
112,years,3
113,world,3
114,long,3
115,little,3
116,commerce,3
117,legislatures,3
118,state,3
119,administration,3
120,whole,3
121,we,3
122,same,3
123,certainly,3
124,united,3
125,houses,3
126,both,3
127,without,3
128,integrity,3
129,well,3
130,necessary,3
131,executive,2
132,endeavor,2
133,animated,2
134,springs,2
135,feel,2
136,forms,2
137,influence,2
138,private,2
139,ourselves,2
140,lay,2
141,recommendations,2
142,between,2
143,obtained,2
144,these,2
145,often,2
146,benevolence,2
147,governments,2
148,nor,2
149,he,2
150,habitual,2
151,citizens,2
152,presented,2
153,prosperity,2
154,attention,2
155,must,2
156,friendly,2
157,judgments,2
158,cause,2
159,esteem,2
160,humanity,2
161,regard,2
162,gratitude,2
163,life,2
164,wishes,2
165,enemies,2
166,times,2
167,impartial,2
168,virtue,2
169,ideas,2
170,into,2
171,establish,2
172,friendship,2
173,veneration,2
174,until,2
175,ends,2
176,length,2
177,classes,2
178,during,2
179,increasing,2
180,degree,2
181,intrigue,2
182,attachment,2
183,danger,2
184,hearts,2
185,common,2
186,year,2
187,obligations,2
188,human,2
189,success,2
190,posterity,2
191,representatives,2
192,sense,2
193,providence,2
194,experience,2
195,determination,2
196,defense,2
197,corruption,2
198,universal,2
199,before,2
200,preference,2
201,reflection,2
202,partial,2
203,commanded,2
204,principles,2
205,free,2
206,single,2
207,consideration,2
208,purity,2
209,present,2
210,us,2
211,satisfaction,2
212,duty,2
213,there,2
214,union,2
215,consider,2
216,myself,2
217,measures,2
218,serious,2
219,other,2
220,example,2
221,throughout,2
222,glory,2
223,laws,2
224,would,2
225,those,2
226,society,2
227,will,2
228,happy,2
229,suffrage,2
230,maintain,2
231,govern,2
232,they,2
233,amiable,2
234,equal,2
235,whatever,2
236,better,2
237,independence,2
238,formed,2
239,sight,2
240,service,2
241,personal,2
242,religion,2
243,themselves,2
244,prepared,2
245,internal,1
246,essential,1
247,intentions,1
248,venality,1
249,depend,1
250,prudence,1
251,bulwark,1
252,election,1
253,consequences,1
254,highest,1
255,fraud,1
256,new,1
257,eastern,1
258,fortitude,1
259,pursued,1
260,independent,1
261,fixed,1
262,consistent,1
263,rule,1
264,determine,1
265,remove,1
266,thought,1
267,foreseen,1
268,considered,1
269,discussions,1
270,improvements,1
271,insure,1
272,do,1
273,selected,1
274,chiefly,1
275,caution,1
276,flattery,1
277,equity,1
278,confederacies,1
279,entertained,1
280,calamity,1
281,pursue,1
282,contributed,1
283,justifiable,1
284,certain,1
285,negligence,1
286,theirs,1
287,lands,1
288,founded,1
289,southern,1
290,unessential,1
291,constant,1
292,concerning,1
293,best,1
294,destruction,1
295,character,1
296,remained,1
297,adapted,1
298,claiming,1
299,submission,1
300,still,1
301,majesty,1
302,europe,1
303,heads,1
304,superior,1
305,political,1
306,negotiation,1
307,arise,1
308,expedient,1
309,debate,1
310,welfare,1
311,see,1
312,himself,1
313,pretense,1
314,powers,1
315,temporary,1
316,recommended,1
317,instituted,1
318,majority,1
319,employed,1
320,seat,1
321,heated,1
322,place,1
323,unlimited,1
324,least,1
325,object,1
326,models,1
327,crisis,1
328,elective,1
329,sanguine,1
330,noble,1
331,conducting,1
