rank,word,freq
1,for,293
2,the,260
3,smubetas,203
4,enron,189
5,of,174
6,to,165
7,and,151
8,meeting,139
9,report,132
10,with,132
11,call,119
12,from,106
13,in,103
14,your,101
15,ypo,90
16,energy,89
17,enrononline,89
18,you,88
19,on,87
20,update,79
21,a,78
22,executive,76
23,skilling,70
24,houston,68
25,invitation,67
26,conference,67
27,lunch,66
28,management,66
29,new,63
30,memo,63
31,jeff,62
32,kai,61
33,june,61
34,plan,57
35,april,56
36,th,55
37,may,54
38,market,53
39,telephone,53
40,letter,49
41,ms,47
42,congratulations,46
43,email,46
44,hbs,45
45,notification,45
46,weekend,43
47,at,43
48,committee,43
49,morning,42
50,jerry,41
51,followup,41
52,erv,41
53,thank,41
54,murdock,41
55,violationnotification,41
56,through,40
57,succession,40
58,outage,40
59,more,39
60,forum,39
61,request,39
62,monday,38
63,dinner,38
64,friday,38
65,december,37
66,urgent,37
67,today,37
68,action,36
69,october,36
70,ewooglin,36
71,prc,36
72,summary,35
73,question,35
74,invite,35
75,breakfast,34
76,september,34
77,commentary,34
78,latest,33
79,dabhol,33
80,power,32
81,reminder,32
82,larsen,31
83,brent,31
84,survey,31
85,l,30
86,park,30
87,it,30
88,kudlows,29
89,my,29
90,interview,28
91,time,28
92,presentation,28
93,party,28
94,seti,27
95,fwd,27
96,policy,27
97,all,27
98,via,27
99,announcement,27
100,picture,26
101,technology,26
102,message,26
103,club,26
104,online,26
105,information,25
106,by,25
107,communications,25
108,business,25
109,board,25
110,opportunity,25
111,trading,25
112,panel,25
113,genesis,24
114,review,24
115,harvard,24
116,release,24
117,ceo,24
118,group,24
119,candidate,24
120,its,23
121,free,23
122,africa,23
123,address,23
124,weekly,22
125,event,22
126,data,22
127,tickets,21
128,news,20
129,beta,20
130,one,20
131,supplemental,20
132,is,19
133,diego,19
134,network,19
135,san,19
136,pm,18
137,are,18
138,homecoming,18
139,employee,18
140,changes,18
141,feedback,18
142,july,18
143,congrats,18
144,dallas,18
145,number,17
146,gas,17
147,this,17
148,thanks,17
149,att,17
150,right,17
151,analyst,17
152,november,17
153,pledges,17
154,betas,17
155,last,17
156,an,17
157,hello,17
158,training,17
159,han,17
160,midyear,16
161,best,16
162,ebs,16
163,no,16
164,us,16
165,august,16
166,jeffrey,16
167,info,16
168,press,16
169,search,16
170,list,16
171,ene,16
172,final,16
173,astros,16
174,up,16
175,luncheon,15
176,corporate,15
177,broadband,15
178,development,15
179,india,15
180,expense,15
181,peer,15
182,february,15
183,annual,15
184,night,14
185,out,14
186,draft,14
187,note,14
188,program,14
189,edward,14
190,great,14
191,dad,14
192,corp,14
193,director,14
194,please,14
195,thursday,14
196,exec,14
197,now,14
198,macerich,14
199,team,14
200,our,14
201,public,14
202,game,14
203,day,14
204,eyeforenergy,14
205,dents,13
206,alphonse,13
207,who,13
208,enews,13
209,about,13
210,chairman,13
211,visit,13
212,gary,13
213,microsoft,13
214,company,13
215,organizational,13
216,christmas,13
217,trip,13
218,conferences,13
219,open,13
220,resignation,13
221,upcoming,13
222,summer,13
223,franz,13
224,luminant,13
225,pictures,13
226,deadline,12
227,available,12
228,speak,12
229,interviewer,12
230,hi,12
231,office,12
232,i,12
233,mtg,12
234,additional,12
235,specifics,12
236,process,12
237,center,12
238,ceos,12
239,wrath,12
240,questions,12
241,texas,12
242,subject,12
243,change,12
244,holiday,12
245,offer,12
246,saturday,12
247,issue,12
248,uk,12
249,world,12
250,south,12
251,sheet,12
252,p,12
253,award,12
254,organization,11
255,internship,11
256,points,11
257,book,11
258,mpr,11
259,member,11
260,fire,11
261,associate,11
262,investment,11
263,ers,11
264,sherri,11
265,performance,11
266,global,11
267,financial,11
268,petroleumworld,11
269,confirmation,11
270,speaking,11
271,leadership,10
272,risk,10
273,pics,10
274,class,10
275,national,10
276,how,10
277,mentor,10
278,briefing,10
279,angel,10
280,customer,10
281,co,10
282,seminar,10
283,next,10
284,esource,10
285,ii,10
286,value,10
287,registration,10
288,mail,10
289,navy,10
290,earthquakeare,10
291,markets,10
292,important,10
293,notice,10
294,opportunities,10
295,loan,10
296,president,10
297,week,10
298,fly,10
299,title,10
300,times,10
301,aa,10
302,article,10
303,scott,10
304,way,10
305,mark,10
306,hump,10
307,ghosh,10
308,partha,10
309,enrons,9
310,cost,9
311,results,9
312,newsletter,9
313,united,9
314,meetings,9
315,summit,9
316,first,9
317,tomorrow,9
318,guidance,9
319,previous,9
320,task,9
321,outlook,9
322,auburn,9
323,what,9
324,force,9
325,dec,9
326,de,9
327,systems,9
328,airfreight,9
329,finance,9
330,presents,9
331,ziff,9
332,jim,9
333,issues,9
334,stein,9
335,chairmans,9
336,xcelerator,9
337,lay,9
338,missing,9
339,project,9
340,wednesday,9
341,personal,9
342,advisory,9
343,dates,9
344,savings,9
345,good,9
346,acg,9
347,sad,9
348,bank,8
349,stanfordmckinsey,8
350,be,8
351,sale,8
352,kids,8
353,private,8
354,again,8
355,flood,8
356,chan,8
357,dated,8
358,social,8
359,dell,8
360,area,8
361,voice,8
362,am,8
363,tour,8
364,encounter,8
365,background,8
366,employees,8
367,welcome,8
368,david,8
369,save,8
370,house,8
371,enterprise,8
372,digital,8
373,we,8
374,software,8
375,second,8
376,surveyinformation,8
377,web,8
378,turkey,8
379,htc,8
380,has,8
381,contact,8
382,away,8
383,read,8
384,bike,8
385,talking,8
386,status,8
387,satisfaction,7
388,rd,7
389,security,7
390,ebusiness,7
391,enabling,7
392,cdt,7
393,cycling,7
394,weeks,7
395,industry,7
396,safari,7
397,r,7
398,minutes,7
399,h,7
400,sign,7
401,gathering,7
402,businessweek,7
403,proposal,7
404,flow,7
405,analysis,7
406,invoices,7
407,back,7
408,happy,7
409,bowl,7
410,bio,7
411,members,7
